,title,abstract,categories
266187,"Efficient Bayesian Learning Curve Extrapolation using Prior-Data Fitted
  Networks","  Learning curve extrapolation aims to predict model performance in later
epochs of training, based on the performance in earlier epochs. In this work,
we argue that, while the inherent uncertainty in the extrapolation of learning
curves warrants a Bayesian approach, existing methods are (i) overly
restrictive, and/or (ii) computationally expensive. We describe the first
application of prior-data fitted neural networks (PFNs) in this context. A PFN
is a transformer, pre-trained on data generated from a prior, to perform
approximate Bayesian inference in a single forward pass. We propose LC-PFN, a
PFN trained to extrapolate 10 million artificial right-censored learning curves
generated from a parametric prior proposed in prior art using MCMC. We
demonstrate that LC-PFN can approximate the posterior predictive distribution
more accurately than MCMC, while being over 10 000 times faster. We also show
that the same LC-PFN achieves competitive performance extrapolating a total of
20 000 real learning curves from four learning curve benchmarks (LCBench,
NAS-Bench-201, Taskset, and PD1) that stem from training a wide range of model
architectures (MLPs, CNNs, RNNs, and Transformers) on 53 different datasets
with varying input modalities (tabular, image, text, and protein data).
Finally, we investigate its potential in the context of model selection and
find that a simple LC-PFN based predictive early stopping criterion obtains 2 -
6x speed-ups on 45 of these datasets, at virtually no overhead.
",cs.LG cs.AI stat.ML
270869,"PepLand: a large-scale pre-trained peptide representation model for a
  comprehensive landscape of both canonical and non-canonical amino acids","  In recent years, the scientific community has become increasingly interested
on peptides with non-canonical amino acids due to their superior stability and
resistance to proteolytic degradation. These peptides present promising
modifications to biological, pharmacological, and physiochemical attributes in
both endogenous and engineered peptides. Notwithstanding their considerable
advantages, the scientific community exhibits a conspicuous absence of an
effective pre-trained model adept at distilling feature representations from
such complex peptide sequences. We herein propose PepLand, a novel pre-training
architecture for representation and property analysis of peptides spanning both
canonical and non-canonical amino acids. In essence, PepLand leverages a
comprehensive multi-view heterogeneous graph neural network tailored to unveil
the subtle structural representations of peptides. Empirical validations
underscore PepLand's effectiveness across an array of peptide property
predictions, encompassing protein-protein interactions, permeability,
solubility, and synthesizability. The rigorous evaluation confirms PepLand's
unparalleled capability in capturing salient synthetic peptide features,
thereby laying a robust foundation for transformative advances in
peptide-centric research domains. We have made all the source code utilized in
this study publicly accessible via GitHub at
https://github.com/zhangruochi/pepland
",q-bio.BM cs.AI q-bio.QM
507191,"Varco Arena: A Tournament Approach to Reference-Free Benchmarking Large
  Language Models","  The rapid advancement of Large Language Models (LLMs) necessitates robust
evaluation methodologies. Current benchmarking approaches often rely on
comparing model outputs against predefined prompts and reference outputs.
Relying on predefined reference outputs hinders flexible adaptation of
benchmarks to the rapidly evolving capabilities of LLMs. This limitation
necessitates periodic efforts to prepare new benchmarks. To keep pace with
rapidly evolving LLM capabilities, we propose a more flexible benchmarking
approach. Our method, \textit{\textbf{Varco Arena}}, provides reference-free
benchmarking of LLMs in tournament style. \textit{\textbf{Varco Arena}}
directly compares LLM outputs across a diverse set of prompts, determining
model rankings through a single-elimination tournament structure. This direct
pairwise comparison offers two key advantages: (1) Direct comparison,
unmediated by reference text, more effectively orders competing LLMs, resulting
in more reliable rankings, and (2) reference-free approach to benchmarking adds
flexibility in updating benchmark prompts by eliminating the need for quality
references. Our empirical results, supported by simulation experiments,
demonstrate that the \textit{\textbf{Varco Arena}} tournament approach aligns
better with the current Elo model for benchmarking LLMs. The alignment is
measured in terms of Spearman correlation, showing improvement over current
practice of benchmarking that use reference outputs as comparison
\textit{anchor}s.
",cs.CL cs.AI
210627,"A Novel DDPM-based Ensemble Approach for Energy Theft Detection in Smart
  Grids","  Energy theft, characterized by manipulating energy consumption readings to
reduce payments, poses a dual threat-causing financial losses for grid
operators and undermining the performance of smart grids. Effective Energy
Theft Detection (ETD) methods become crucial in mitigating these risks by
identifying such fraudulent activities in their early stages. However, the
majority of current ETD methods rely on supervised learning, which is hindered
by the difficulty of labelling data and the risk of overfitting known attacks.
To address these challenges, several unsupervised ETD methods have been
proposed, focusing on learning the normal patterns from honest users,
specifically the reconstruction of input. However, our investigation reveals a
limitation in current unsupervised ETD methods, as they can only detect
anomalous behaviours in users exhibiting regular patterns. Users with
high-variance behaviours pose a challenge to these methods. In response, this
paper introduces a Denoising Diffusion Probabilistic Model (DDPM)-based ETD
approach. This innovative approach demonstrates impressive ETD performance on
high-variance smart grid data by incorporating additional attributes correlated
with energy consumption. The proposed methods improve the average ETD
performance on high-variance smart grid data from below 0.5 to over 0.9 w.r.t.
AUC. On the other hand, our experimental findings indicate that while the
state-of-the-art ETD methods based on reconstruction error can identify ETD
attacks for the majority of users, they prove ineffective in detecting attacks
for certain users. To address this, we propose a novel ensemble approach that
considers both reconstruction error and forecasting error, enhancing the
robustness of the ETD methodology. The proposed ensemble method improves the
average ETD performance on the stealthiest attacks from nearly 0 to 0.5 w.r.t.
5%-TPR.
",cs.LG cs.AI cs.CR
446693,Highly Efficient Self-Adaptive Reward Shaping for Reinforcement Learning,"  Reward shaping is a technique in reinforcement learning that addresses the
sparse-reward problem by providing more frequent and informative rewards. We
introduce a self-adaptive and highly efficient reward shaping mechanism that
incorporates success rates derived from historical experiences as shaped
rewards. The success rates are sampled from Beta distributions, which
dynamically evolve from uncertain to reliable values as data accumulates.
Initially, the shaped rewards exhibit more randomness to encourage exploration,
while over time, the increasing certainty enhances exploitation, naturally
balancing exploration and exploitation. Our approach employs Kernel Density
Estimation (KDE) combined with Random Fourier Features (RFF) to derive the Beta
distributions, providing a computationally efficient, non-parametric, and
learning-free solution for high-dimensional continuous state spaces. Our method
is validated on various tasks with extremely sparse rewards, demonstrating
notable improvements in sample efficiency and convergence stability over
relevant baselines.
",cs.LG cs.AI
32032,"Learning What to Memorize: Using Intrinsic Motivation to Form Useful
  Memory in Partially Observable Reinforcement Learning","  Reinforcement Learning faces an important challenge in partial observable
environments that has long-term dependencies. In order to learn in an ambiguous
environment, an agent has to keep previous perceptions in a memory. Earlier
memory based approaches use a fixed method to determine what to keep in the
memory, which limits them to certain problems. In this study, we follow the
idea of giving the control of the memory to the agent by allowing it to have
memory-changing actions. This learning mechanism is supported by an intrinsic
motivation to memorize rare observations that can help the agent to
disambiguate its state in the environment. Our approach is experimented and
analyzed on several partial observable tasks with long-term dependencies and
compared with other memory based methods.
",cs.LG cs.AI
459633,"Stability of Primal-Dual Gradient Flow Dynamics for Multi-Block Convex
  Optimization Problems","  We examine stability properties of primal-dual gradient flow dynamics for
composite convex optimization problems with multiple, possibly nonsmooth, terms
in the objective function under the generalized consensus constraint. The
proposed dynamics are based on the proximal augmented Lagrangian and they
provide a viable alternative to ADMM which faces significant challenges from
both analysis and implementation viewpoints in large-scale multi-block
scenarios. In contrast to customized algorithms with individualized convergence
guarantees, we provide a systematic approach for solving a broad class of
challenging composite optimization problems. We leverage various structural
properties to establish global (exponential) convergence guarantees for the
proposed dynamics. Our assumptions are much weaker than those required to prove
(exponential) stability of various primal-dual dynamics as well as (linear)
convergence of discrete-time methods, e.g., standard two-block and multi-block
ADMM and EXTRA algorithms. Finally, we show necessity of some of our structural
assumptions for exponential stability and provide computational experiments to
demonstrate the convenience of the proposed dynamics for parallel and
distributed computing applications.
",math.OC cs.AI cs.LG cs.SY eess.SY
4063,Contextual Linear Bandits under Noisy Features: Towards Bayesian Oracles,"  We study contextual linear bandit problems under feature uncertainty, where
the features are noisy and have missing entries. To address the challenges
posed by this noise, we analyze Bayesian oracles given the observed noisy
features. Our Bayesian analysis reveals that the optimal hypothesis can
significantly deviate from the underlying realizability function, depending on
the noise characteristics. These deviations are highly non-intuitive and do not
occur in classical noiseless setups. This implies that classical approaches
cannot guarantee a non-trivial regret bound. Therefore, we propose an algorithm
that aims to approximate the Bayesian oracle based on the observed information
under this model, achieving $\tilde{O}(d\sqrt{T})$ regret bound when there is a
large number of arms. We demonstrate the proposed algorithm using synthetic and
real-world datasets.
",cs.AI cs.LG stat.ML
493981,Conjunction Subspaces Test for Conformal and Selective Classification,"  In this paper, we present a new classifier, which integrates significance
testing results over different random subspaces to yield consensus p-values for
quantifying the uncertainty of classification decision. The null hypothesis is
that the test sample has no association with the target class on a randomly
chosen subspace, and hence the classification problem can be formulated as a
problem of testing for the conjunction of hypotheses. The proposed classifier
can be easily deployed for the purpose of conformal prediction and selective
classification with reject and refine options by simply thresholding the
consensus p-values. The theoretical analysis on the generalization error bound
of the proposed classifier is provided and empirical studies on real data sets
are conducted as well to demonstrate its effectiveness.
",cs.LG cs.AI
303871,"Taking the Next Step with Generative Artificial Intelligence: The
  Transformative Role of Multimodal Large Language Models in Science Education","  The integration of Artificial Intelligence (AI), particularly Large Language
Model (LLM)-based systems, in education has shown promise in enhancing teaching
and learning experiences. However, the advent of Multimodal Large Language
Models (MLLMs) like GPT-4 with vision (GPT-4V), capable of processing
multimodal data including text, sound, and visual inputs, opens a new era of
enriched, personalized, and interactive learning landscapes in education.
Grounded in theory of multimedia learning, this paper explores the
transformative role of MLLMs in central aspects of science education by
presenting exemplary innovative learning scenarios. Possible applications for
MLLMs could range from content creation to tailored support for learning,
fostering competencies in scientific practices, and providing assessment and
feedback. These scenarios are not limited to text-based and uni-modal formats
but can be multimodal, increasing thus personalization, accessibility, and
potential learning effectiveness. Besides many opportunities, challenges such
as data protection and ethical considerations become more salient, calling for
robust frameworks to ensure responsible integration. This paper underscores the
necessity for a balanced approach in implementing MLLMs, where the technology
complements rather than supplants the educator's role, ensuring thus an
effective and ethical use of AI in science education. It calls for further
research to explore the nuanced implications of MLLMs on the evolving role of
educators and to extend the discourse beyond science education to other
disciplines. Through the exploration of potentials, challenges, and future
implications, we aim to contribute to a preliminary understanding of the
transformative trajectory of MLLMs in science education and beyond.
",cs.AI cs.CY
174322,Visual Affordance Prediction for Guiding Robot Exploration,"  Motivated by the intuitive understanding humans have about the space of
possible interactions, and the ease with which they can generalize this
understanding to previously unseen scenes, we develop an approach for learning
visual affordances for guiding robot exploration. Given an input image of a
scene, we infer a distribution over plausible future states that can be
achieved via interactions with it. We use a Transformer-based model to learn a
conditional distribution in the latent embedding space of a VQ-VAE and show
that these models can be trained using large-scale and diverse passive data,
and that the learned models exhibit compositional generalization to diverse
objects beyond the training distribution. We show how the trained affordance
model can be used for guiding exploration by acting as a goal-sampling
distribution, during visual goal-conditioned policy learning in robotic
manipulation.
",cs.RO cs.AI
507052,"NEO: Saving GPU Memory Crisis with CPU Offloading for Online LLM
  Inference","  Online LLM inference powers many exciting applications such as intelligent
chatbots and autonomous agents. Modern LLM inference engines widely rely on
request batching to improve inference throughput, aiming to make it
cost-efficient when running on expensive GPU accelerators. However, the limited
GPU memory has largely limited the batch size achieved in practice, leaving
significant GPU compute resources wasted.
  We present NEO, an online LLM inference system that offloads part of
attention compute and KV cache states from the GPU to the local host CPU,
effectively increasing the GPU batch size and thus inference throughput. To
this end, NEO proposes asymmetric GPU-CPU pipelining and load-aware scheduling
to balance GPU and CPU loads and fully utilize their compute and memory
resources. We evaluate NEO on a wide range of workloads (i.e., code generation,
text summarization), GPUs (i.e., T4, A10G, H100), and LLM models (i.e., 7B, 8B,
70B). NEO achieves up to 7.5$\times$, 26%, and 14% higher throughput compared
to GPU-only approach on T4, A10G, and H100 GPUs, respectively, while
maintaining the same latency; with more powerful CPUs, NEO achieves up to 79.3%
throughput gain on A10G GPU.
",cs.DC cs.AI cs.LG
75802,"RMBench: Benchmarking Deep Reinforcement Learning for Robotic
  Manipulator Control","  Reinforcement learning is applied to solve actual complex tasks from
high-dimensional, sensory inputs. The last decade has developed a long list of
reinforcement learning algorithms. Recent progress benefits from deep learning
for raw sensory signal representation. One question naturally arises: how well
do they perform concerning different robotic manipulation tasks? Benchmarks use
objective performance metrics to offer a scientific way to compare algorithms.
In this paper, we present RMBench, the first benchmark for robotic
manipulations, which have high-dimensional continuous action and state spaces.
We implement and evaluate reinforcement learning algorithms that directly use
observed pixels as inputs. We report their average performance and learning
curves to show their performance and stability of training. Our study concludes
that none of the studied algorithms can handle all tasks well, soft
Actor-Critic outperforms most algorithms in average reward and stability, and
an algorithm combined with data augmentation may facilitate learning policies.
Our code is publicly available at
https://github.com/xiangyanfei212/RMBench-2022, including all benchmark tasks
and studied algorithms.
",cs.RO cs.AI
356028,"A Three-Phases SFT Hybrid Model Integrated Strong Prior Module and Data
  Overlap Estimation in the Eduation Context","  In this paper, we propose an end-to-end prior-based three-phases supervised
fine-tuned model, which is proved more competitive than traditional fine-tuning
method. More specifically, our model realizes the structural disassembly and
incremental guided output of educational knowledge. To this end, we robustify
data classification of three types via a sampler and overlap estimation neural
network, and inject the preprocessing datasets into pre-trained model in three
batches for LORA fine-tuning. Then, we design a prior module couples system
prompt, vector databases, and abstract syntax tree task segmentation. Finally,
the compression method and regularization constraint are applied to the
prior-based fine-tuned model, followed by text filter at the output end to
obtain incremental guided results. Our model represents the first research
effort to truly embody the tutor role with the features of abundant educational
knowledge, step-by-step incremental guided outputs and non-disclosure of
answers. Extensive experiments report that our model also achieves
state-of-the-art in code abilities compared to open-source models, reaching an
impressive 75.10% on the HumanEval (@pass 1) benchmark. Additionally, our model
maintains strong conversational capabilities, with the 13B quantized version
achieving scores of 56.34, 50.60, and 45.27 respectively on the MMLU, C-Eval,
and AGIEval (5 shot) dialogue evaluation benchmarks.
",cs.LG cs.AI cs.CL
397205,Meta-Task Planning for Language Agents,"  The rapid advancement of neural language models has sparked a new surge of
intelligent agent research. Unlike traditional agents, large language
model-based agents (LLM agents) have emerged as a promising paradigm for
achieving artificial general intelligence (AGI) due to their superior reasoning
and generalization capabilities. Effective planning is crucial for the success
of LLM agents in real-world tasks, making it a highly pursued topic in the
community. Current planning methods typically translate tasks into executable
action sequences. However, determining a feasible or optimal sequence for
complex tasks at fine granularity, which often requires compositing long chains
of heterogeneous actions, remains challenging. This paper introduces Meta-Task
Planning (MTP), a zero-shot methodology for collaborative LLM-based multi-agent
systems that simplifies complex task planning by decomposing it into a
hierarchy of subordinate tasks, or meta-tasks. Each meta-task is then mapped
into executable actions. MTP was assessed on two rigorous benchmarks,
TravelPlanner and API-Bank. Notably, MTP achieved an average $\sim40\%$ success
rate on TravelPlanner, significantly higher than the state-of-the-art (SOTA)
baseline ($2.92\%$), and outperforming $LLM_{api}$-4 with ReAct on API-Bank by
$\sim14\%$, showing the immense potential of integrating LLM with multi-agent
systems.
",cs.AI cs.CL cs.LG
327064,Cooperative Knowledge Distillation: A Learner Agnostic Approach,"  Knowledge distillation is a simple but powerful way to transfer knowledge
between a teacher model to a student model. Existing work suffers from at least
one of the following key limitations in terms of direction and scope of
transfer which restrict its use: all knowledge is transferred from teacher to
student regardless of whether or not that knowledge is useful, the student is
the only one learning in this exchange, and typically distillation transfers
knowledge only from a single teacher to a single student. We formulate a novel
form of knowledge distillation in which many models can act as both students
and teachers which we call cooperative distillation. The models cooperate as
follows: a model (the student) identifies specific deficiencies in it's
performance and searches for another model (the teacher) who encodes learned
knowledge into instructional virtual instances via counterfactual instance
generation. Because different models may have different strengths and
weaknesses, all models can act as either students or teachers (cooperation)
when appropriate and only distill knowledge in areas specific to their
strengths (focus). Since counterfactuals as a paradigm are not tied to any
specific algorithm, we can use this method to distill knowledge between
learners of different architectures, algorithms, and even feature spaces. We
demonstrate that our approach not only outperforms baselines such as transfer
learning, self-supervised learning, and multiple knowledge distillation
algorithms on several datasets, but it can also be used in settings where the
aforementioned techniques cannot.
",cs.LG cs.AI
268592,Sparse Training of Discrete Diffusion Models for Graph Generation,"  Generative graph models struggle to scale due to the need to predict the
existence or type of edges between all node pairs. To address the resulting
quadratic complexity, existing scalable models often impose restrictive
assumptions such as a cluster structure within graphs, thus limiting their
applicability. To address this, we introduce SparseDiff, a novel diffusion
model based on the observation that almost all large graphs are sparse. By
selecting a subset of edges, SparseDiff effectively leverages sparse graph
representations both during the noising process and within the denoising
network, which ensures that space complexity scales linearly with the number of
chosen edges. During inference, SparseDiff progressively fills the adjacency
matrix with the selected subsets of edges, mirroring the training process. Our
model demonstrates state-of-the-art performance across multiple metrics on both
small and large datasets, confirming its effectiveness and robustness across
varying graph sizes. It also ensures faster convergence, particularly on larger
graphs, achieving a fourfold speedup on the large Ego dataset compared to dense
models, thereby paving the way for broader applications.
",cs.LG cs.AI
322939,"LLMs Can't Plan, But Can Help Planning in LLM-Modulo Frameworks","  There is considerable confusion about the role of Large Language Models
(LLMs) in planning and reasoning tasks. On one side are over-optimistic claims
that LLMs can indeed do these tasks with just the right prompting or
self-verification strategies. On the other side are perhaps over-pessimistic
claims that all that LLMs are good for in planning/reasoning tasks are as mere
translators of the problem specification from one syntactic format to another,
and ship the problem off to external symbolic solvers. In this position paper,
we take the view that both these extremes are misguided. We argue that
auto-regressive LLMs cannot, by themselves, do planning or self-verification
(which is after all a form of reasoning), and shed some light on the reasons
for misunderstandings in the literature. We will also argue that LLMs should be
viewed as universal approximate knowledge sources that have much more
meaningful roles to play in planning/reasoning tasks beyond simple
front-end/back-end format translators. We present a vision of {\bf LLM-Modulo
Frameworks} that combine the strengths of LLMs with external model-based
verifiers in a tighter bi-directional interaction regime. We will show how the
models driving the external verifiers themselves can be acquired with the help
of LLMs. We will also argue that rather than simply pipelining LLMs and
symbolic components, this LLM-Modulo Framework provides a better neuro-symbolic
approach that offers tighter integration between LLMs and symbolic components,
and allows extending the scope of model-based planning/reasoning regimes
towards more flexible knowledge, problem and preference specifications.
",cs.AI cs.LG
70115,Deep Generative Multimedia Children's Literature,"  Artistic work leveraging Machine Learning techniques is an increasingly
popular endeavour for those with a creative lean. However, most work is done in
a single domain: text, images, music, etc. In this work, I design a system for
a machine learning created multimedia experience, specifically in the genre of
children's literature. We detail the process for exclusively using publicly
available pretrained deep neural network based models, I present multiple
examples of the work my system creates, and I explore the problems associated
in this area of creative work.
",cs.AI
483097,"Improving Fuzzy Rule Classifier with Brain Storm Optimization and Rule
  Modification","  The expanding complexity and dimensionality in the search space can adversely
affect inductive learning in fuzzy rule classifiers, thus impacting the
scalability and accuracy of fuzzy systems. This research specifically addresses
the challenge of diabetic classification by employing the Brain Storm
Optimization (BSO) algorithm to propose a novel fuzzy system that redefines
rule generation for this context. An exponential model is integrated into the
standard BSO algorithm to enhance rule derivation, tailored specifically for
diabetes-related data. The innovative fuzzy system is then applied to
classification tasks involving diabetic datasets, demonstrating a substantial
improvement in classification accuracy, as evidenced by our experiments.
",cs.AI cs.NE
