Unnamed: 0,Animal Name,Description,Classification
15,Moderlieschen ,the moderlieschen or belica leucaspius delineatus is a species of ray finned fish in the cyprinidae family formerly its genus leucaspius included some other species but these have all been moved to ladigesocypris or pseudophoxinus or merged with l delineatus leaving leucaspius monotypic image jpg thumb left motherless juvenile moderlieschens in a drying out ephemeral pond it is found all over temperate continental europe and barely extends to central asia in the caucasus region the southern limits of its range are essentially marked by the pyrenees and the alpide be,Fish
16,Island Fox ,the island fox urocyon littoralis is a small fox that is native to six of the eight channel islands of california there are six subspecies of the fox each unique to the island it lives on reflecting its evolutionary history other names for the island fox include coast fox short tailed fox island gray fox channel islands fox channel islands gray fox california channel island fox and insular gray fox,Land Mammal
17,Brown trout ,the brown trout salmo trutta morph zoology morpha fario and s trutta morpha lacustris and the sea trout s trutta morpha trutta are fish of the same species they are distinguished chiefly by the fact that the brown trout is largely a fresh water freshwater fish while the sea trout shows anadromous reproduction migrating to the oceans for much of its life and returning to freshwater only to spawn biology spawn,Fish
18,Clouded Leopard ,the clouded leopard neofelis nebulosa is a felidae cat found from the himalayan foothills through mainland southeast asia into china and has been classified as vulnerable species vulnerable in by iucn its total population size is suspected to be fewer than mature individuals with a decreasing population trend and no single population numbering more than adu,Land Mammal
19,European Polecat ,the european polecat mustela putorius also known as a fitch foumart or foulmart is a member of the mustelidae family and is related to the stoats otters and minks polecats are dark brown with a lighter bandit like mask across the face pale yellow underbody fur a long tail and short legs they are somewhat larger than weasels but smaller than otters weighing between amp nbsp kg for females to amp nbsp kg for males the european polecat is the wild ancestor of the domesticated ferret,Land Mammal
20,Corsac Fox ,the corsac fox vulpes corsac also known as the steppe fox is a medium sized asiatic fox species spread throughout the central steppes of asia it is sometimes referred to as the tibetan fox because it lives in the arid environments north and west of the tibetan plateau or simply as the sand fox but this terminology is confusing because the tibetan sand fox vulpes ferrilata which lives in the high parts of the tibetan plateau is often called the sand fox or tibetan fox as well rüppell s fox vulpes rueppellii is also known as the sand fox it is very social and lives in corsac cities where animals have several dens with connected holes it prefers some steppe and semi desert in mountainous areas it is mainly gray reddish with silver celadon areas on their coat the corsac fox is threatened by hunting for the fur trade,Land Mammal
21,Tench ,the tench or doctor fish tinca tinca is a freshwater and brackish water fish of the cyprinid commonly called carp family found throughout eurasia from western europe including the british isles east into asia as far as the ob river ob and yenisei rivers it is also found in lake baikal,Fish
22,Tiger,the tiger fund accessdate,Land Mammal
23,Eurasian Sparrowhawk ,the eurasian or northern sparrowhawk accipiter nisus is a small bird of prey in the family accipitridae adu,Bird
24,Honey Buzzard ,the honey buzzard pernis apivorus is a bird of prey in the family accipitridae which also includes many other diurnal animal diurnal bird of prey raptors such as kite bird kites eagles and harrier bird harriers despite its name this species is not related to the true buzzards in the genus buteo and is closer to the kites it is a summer bird migration migrant to most of europe and western asia wintering in tropical africa it is a specialist feeder living mainly on the larvae and nests of wasps and hornets a,Bird
25,Kouprey ,the horns of the female are lyre shaped with antelope like upward spirals the horns of the male are wide and arch forward and upward and they begin to fray at the tips at about three years of age both sexes have notched nostrils and long tails kouprey live in low partially forested hills where they eat mainly grasses kouprey are diurnal animal diurnal eating in the open at night and under the forest cover during the day they live in herds of up to twenty generally consisting of only cows and calves but also bulls during the dry season there are estimated to be fewer than kouprey left in the world these low numbers are attributed to uncontrolled hunting by locals and soldiers in conjunction with diseases introduced from cattle and loss of habitat ecology habitat however no kouprey have been sighted since and during the last decade several searches for the animal have proven fruitless,Land Mammal
26,Anguis fragilis ,the skin of the varieties of slow worm is smooth with scales that do not overlap one another like many other lizards slow worms autotomy autotomize meaning that they have the ability to shed their tails in order to escape predators the tail regrows but remains smaller these reptiles are mostly active during the twilight and occasionally bask in the sun but are more often found hiding beneath rocks and logs they are carnivore carnivorous and because they feed on slugs and worms they can often be found in long grass and other damp environments the females give birth to live young ovoviviparous birth in the days leading up to birth the female can often be seen basking in the sun on a warm road they are common in gardens and can be encouraged to enter and help remove pest insects by placing black plastic or a piece of tin on the ground on warm days one or more slow worms will often be found underneath these collectors of heat one of the biggest causes of mortality in slow worms in suburban areas is the domestic cat against which it has no defence a,Reptile
27,Black Lemur ,the black lemur eulemur macaco is a species of lemur from the family lemuridae like all lemurs it is endemism endemic to madagascar originally the species was thought to have two subspecies,Land Mammal
28,Siamese Crocodile ,the siamese crocodile crocodylus siamensis is a freshwater crocodile native to indonesia borneo and possibly java brunei east malaysia laos cambodia burma thailand and vietnam the species is critically endangered and already extirpated from many regions in the wild they prefer slow moving waters like swamps rivers and some lakes most adu,Reptile
29,Great Black-backed Gull ,the great black backed gull larus marinus is a very large gull which breeds on the european and north american coasts and islands of the north atlantic it is fairly sedentary but some great black backed gulls move farther south or inland to large lakes or reservoirs the great black backed gull was one of the many species originally described by carolus linnaeus linnaeus in his century work systema naturae and it still bears its original name of larus marinus,Bird
30,Pumpkinseed ,the pumpkinseed sunfish lepomis gibbosus is a freshwater fish of the sunfish family biology family centrarchidae of order biology order perciformes it is native to northeastern north america from new brunswick to south carolina but it has been introduced elsewhere in north america as well as throughout much of europe where it is considered an invasive species pumpkinseeds reach a maximum length of about convert in cm a,Fish
31,Lion-tailed Macaque ,the lion tailed macaque macaca silenus is an old world monkey that is endemic to the western ghats of south india,Land Mammal
32,Martial Eagle ,the martial eagle polemaetus bellicosus is a very large eagle found in open and semi open habitats of sub saharan africa it is the only member of the genus polemaetus,Bird
33,Gharial ,the gharial gavialis gangeticus hindi marathi language marathi susar sometimes called indian gavial or gavial is the only surviving member of the once well represented family biology family gavialidae a long established group of crocodilians with long slender snouts,Reptile
34,Golden Jackal ,no description found,Land Mammal
35,White-tailed Eagle ,the white tailed eagle haliaeetus albicilla,Bird
36,Bonobo ,the bonobo ipa en,Land Mammal
37,European Otter ,the european otter lutra lutra also known as the eurasian otter eurasian river otter common otter and old world otter is a european and asian member of the lutrinae or otter subfamily and is typical of freshwater otters it differs from the north american river otter by its shorter neck broader visage the greater space between the ears and its longer tail,Land Mammal
38,Galápagos Hawk ,the galápagos hawk buteo galapagoensis is a large hawk endemism endemic to the galápagos islands known for its fearlessness towards humans and authority over the islands as the only original predator this bird of prey raptor has inhabited the galápagos archipelago for over years,Bird
39,Northern Hawk Owl ,the northern hawk owl is a non migratory bird that stays within its breeding range,Bird
40,Bearded Vulture ,the lammergeier lammergeyer or bearded vu,Bird
41,Rough-legged Buzzard ,the rough legged buzzard buteo lagopus called the rough legged hawk in north america is a medium large bird of prey it is convert cm in long with a convert cm in wingspan the breeding range is northernmost europe asia and north america it bird migration migrates further south in winter image buteo lagopus jpg left thumb the tail is white with a dark terminal band it breeds on cliffs slopes or in trees laying about four eggs but more in good lemming years it hunts over open land eating small mammals and carrion this species along with the osprey is one of the few large birds of prey to hover regularly,Bird
42,European Badger ,the european badger meles meles is a species of badger of the genus meles genus meles native to almost all of europe it is classed as least concern for extinction by the iucn due to its wide distribution and large population the european badger is a social burrowing animal which lives on a wide variety of plant and animal food it is very fussy over the cleanliness of its burrow and defecates in latrines cases are known of european badgers burying their dead family members a,Land Mammal
43,Willow Grouse ,the willow grouse lagopus lagopus or willow ptarmigan is a bird of the grouse subfamily it is a sedentary species breeding in birch and other forests and moorlands in the tundra of scotland scandinavia siberia and of alaska and northern canada it is the list of u s state birds state bird of alaska,Bird
44,Crested Gecko ,the crested gecko new caledonian crested gecko guichenot s giant gecko or eyelash gecko rhacodactylus ciliatus is a species of gecko native to southern new caledonia this species was thought extinction extinct until it was rediscovered in,Reptile
45,Fiji Banded Iguana ,the fiji banded iguana brachylophus fasciatus is an arboreal species of lizard endemic to some of the southeastern fijian islands it is also found in tonga where it was probably introduced by humans,Reptile
46,Australian Dingo ,no description found,Land Mammal
47,Coho salmon ,the coho salmon oncorhynchus kisutch from the russian language russian kizhuch is a species of anadromous fish in the salmon family biology family coho salmon are also known as silver salmon or silvers it is the state animal of chiba prefecture chiba japan,Fish
48,Moose ,the moose north america or eurasian elk europe alces alces is the largest extant taxon extant species in the deer family biology family moose are distinguished by the palmate antlers of the males other members of the family have antlers with a twig like configuration moose typically inhabit boreal forests boreal and temperate broadleaf and mixed forests mixed deciduous forests of the northern hemisphere in temperate to subarctic climate subarctic climates,Land Mammal
49,Black-headed Gull ,the black headed gull chroicocephalus ridibundus is a small gull which breeds in much of europe and asia and also in coastal eastern canada most of the population is bird migration migratory wintering further south but some birds in the milder westernmost areas of europe are resident some birds will also spend the winter in northeastern north america where it was formerly known as the common black headed gull as is the case with many gulls it was previously been placed in the genus larus this gull is amp nbsp cm in long with a amp nbsp cm amp nbsp in wingspan in flight the white leading edge to the wing is a good field mark the summer adu,Bird
50,Western Capercaillie ,the western capercaillie tetrao urogallus also known as the wood grouse heather cock scottish gaelic an coileach fraoich or capercaillie is the largest member of the grouse family reaching over amp nbsp cm in length and amp nbsp kg in weight the largest one ever recorded in captivity had a weight of amp nbsp kg amp nbsp lbs found across northern europe and asia it is renowned for its mating display,Bird
51,Ferret ,the ferret is a domestication domesticated mammal of the type mustela putorius furo ferrets are sexually sexual dimorphism dimorphic predators with males being substantially larger than females they typically have brown black white or mixed fur have an average length of amp nbsp inches amp nbsp cm including a amp nbsp inch amp nbsp cm tail weigh about nowrap convert lb sigfig and have a natural lifespan of to amp nbsp years,Land Mammal
52,Gila monster ,the gila monster proneng hee la heloderma suspectum is a species of venom poison venomous lizard native to the southwestern united states and northerwestern mexican state of sonora a heavy slow moving lizard up to convert cm ft long the gila monster is the only venomous lizard native to the united states and one of only two known species of venomous lizards in north america the other being its close relative the mexican beaded lizard h horridum,Reptile
53,European Herring Gull ,the european herring gull larus argentatus is a large gull up to amp nbsp inches or amp nbsp cm long and is the most abundant and best known of all gulls along the shores of western europe,Bird
54,Leopard ,the leopard pron en panthera pardus is a member of the felidae biological family family and the smallest of the four big cats in the genus panthera the other three being the tiger lion and jaguar once distributed across eastern and southern asia and africa from siberia to south africa the leopard s range of distribution has decreased radically because of hunting and loss of habitat it is now chiefly found in sub saharan africa there are also fragmented populations in pakistan india sri lanka indochina malaysia and china because of its declining range and population it is listed as a near threatened species by the iucn,Land Mammal
55,Greater Kudu ,the greater kudu tragelaphus strepsiceros is a woodland antelope found throughout east africa eastern and southern africa southern africa despite occupying such widespread territory animal territory they are sparsely populated in most areas due to a declining habitat deforestation and hunting,Land Mammal
56,Common Tern ,the common tern sterna hirundo is a seabird of the tern family sternidae this bird has a circumpolar distribution breeding in temperate and sub arctic regions of europe asia and east and central north america it is strongly bird migration migratory wintering in coastal tropical and subtropical regions it is sometimes known as the sea swallow,Bird
57,Crotalus atrox ,the venomous reptiles of the western hemisphere comstock publishing associates ithaca and london pp plates isbn,Reptile
58,Minke whale ,the minke whale was given its official designation,Aquatic Mammal
59,Barbary Macaque ,the barbary macaque macaca sylvanus is a macaque with only a stub of a tail found in the atlas mountains of algeria and morocco with a small possibly introduced species introduced population in gibra,Land Mammal
60,Ocelot ,the ocelot leopardus pardalis pronounced also known as the dwarf leopard mckenney s wildcat jaguatirica in brazil jaguarete in paraguay and argentina tigrillo in ecuador and colombia cunaguaro in venezuela or manigordo in costa rica and panama is a wild felidae cat distributed over south america south and central america and mexico but has been reported as far north as texas and in trinidad in the caribbean north of mexico it is found regularly only in the extreme southern part of texas,Land Mammal
61,Northern Goshawk ,the northern goshawk pron en from old english language old english gōsheafoc goose hawk accipiter gentilis is a medium large bird of prey in the family accipitridae which also includes other diurnal raptors such as eagles buzzards and harrier bird harriers it is a widespread species that inhabits the temperate parts of the northern hemisphere in europe and north america where there is only one goshawk it is often referred to officially and unofficially respectively as simply the goshawk it is mainly resident bird resident but birds from colder regions bird migration migrate south for the winter in north america migratory goshawks are often seen migrating south along mountain ridge tops in september and october this species was first described by carolus linnaeus linnaeus in his systema naturae in under its current scientific name,Bird
62,Dwarf crocodile ,the dwarf crocodile osteolaemus tetraspis is an african species of crocodile it is also the smallest extant taxon extant crocodile species in the world recent sampling has identified three genetically distinct populations some feel that the findings should elevate the subspecies to full species status,Reptile
63,Black Grouse ,the black grouse or blackgame tetrao tetrix is a large aves bird in the grouse family it is a sedentary species breeding across northern eurasia in moorland and bog areas near to woodland mostly taiga boreal the black grouse is closely related to the caucasian black grouse black grouse is a large bird with males being convert cm in long and weighing convert g lb and females convert cm in and weighing convert g lb,Bird
64,Gray fox ,the gray fox urocyon cinereoargenteus is a mammal of the order carnivora ranging throughout most of the southern half of north america from southern canada to northern venezuela and colombia,Land Mammal
65,Polar cod ,the polar cod or boreogadus saida is a fish of the family biology family gadidae related to the true cod genus gadus note that there is another fish with the common name arctic cod arctogadus glacialis the polar cod has a slender body deeply forked tail projecting mouth and a small whisker on its chin it is plainly coloured with brownish spots and a silvery body it grows to a length of cm the polar cod is found further north than any other fish species beyond n with a distribution spanning the arctic seas off northern russia alaska canada and greenland this fish is most commonly found at the water s surface but is also known to travel at depths greater than m the polar cod is known to frequent river mouths it is a hardy fish that survives best at temperatures of c but may tolerate colder temperatures owing to the presence of antifreeze protein compounds in its blood they group in large schools in ice free waters the polar cod feeds on plankton and krill it is in turn the primary food source for narwhals beluga whale belugas ringed seals and seabirds they are fishing fished commercially in russia,Fish
66,Canada Lynx ,the canada lynx lynx canadensis or canadian lynx is a north american mammal of the cat family felidae it is a close relative of the eurasian lynx lynx lynx some authorities who date may regard both as conspecificity conspecific however in some characteristics the canada lynx is more like the bobcat lynx rufus than the eurasian lynx with the recognized subspecies it ranges across canada and into alaska as well as some parts of the northern united states with a dense silvery brown coat ruffed face and tufted ears the canada lynx resembles the other species of the mid sized lynx genus it is larger than the bobcat with which it shares parts of its range and over twice the size of the domestic cat,Land Mammal
67,Tengmalm's Owl ,the other grouping is the barn owls tytonidae this bird is named after the swedish naturalist peter gustaf tengmalm,Bird
68,Snow Leopard ,theodore sherman palmer palmer,Land Mammal
69,Southern right whale ,the southern right whale eubalaena australis is a baleen whale one of three species classified as right whales belonging to the genus eubalaena like other right whales the southern right whale is readily distinguished from others by the callosity callosities on its head a broad back without a dorsal fin and a long arching mouth that begins above the eye its skin is very dark grey or black occasionally with some white patches on the belly the right whale s callosities appear white due to large colonies of cyamids whale lice it is almost indistinguishable from the closely related north atlantic right whale north atlantic and the north pacific right whales displaying only minor skull differences it may have fewer callosities on its head and more on its lower lips than the two northern species,Aquatic Mammal
70,Stoat ,the stoat or ermine mustela erminea is a small predatory mammal of the family mustelidae it is also known as a shorttail or short tailed weasel and less frequently as the ermelin sometimes ermine refers to the animal only when it has white fur in the winter and in this case stoat only refers to it when it has brown fur,Land Mammal
71,Beech Marten ,the beech marten martes foina also known as the stone marten is the most common species of marten in central europe beech martens are long slender short legged mustelid predators with long bushy tails they grow to a size of to cm in body length and weigh up to two kilograms their brown coats have a forked white marking at the throat which distinguishes them in appearance from the pine marten whose throat marking is cream coloured and more rounded beech martens frequently live in areas of human settlement often in attic spaces but can also be found in the countryside a,Land Mammal
72,False killer whale ,the false killer whale pseudorca crassidens is a cetacean and the third largest member of the oceanic dolphin family delphinidae it lives in temperate and tropical waters throughout the world as its name implies the false killer whale shares characteristics such as appearance with the more widely known orca killer whale like the orca the false killer whale attacks and kills other cetaceans however the two dolphin species are not closely related the false killer whale has not been extensively studied in the wild much of the data about it has been derived by examining stranded animals the species is the only member of the pseudorca genus,Aquatic Mammal
73,Common Buzzard ,the common buzzard buteo buteo is a medium to large bird of prey whose range covers most of europe and extends into asia it is typically between amp nbsp cm in length with a to amp nbsp cm metre to a metre and half amp nbsp inch wingspan making it a medium sized bird of prey raptor there are around breeding pairs in britain it is usually resident all year except in the coldest parts of its range and in the case of one subspecies it breeds in woodlands usually on the fringes but favours hunting over open land it eats mainly small mammals and will come to carrion a great opportunist it adapts well to a varied diet of pheasant rabbit other small mammals to medium mammals snakes and lizards and can often be seen walking over recently ploughed fields looking for worms and insects the birds have incredible strength and are therefore able to pick up food of all weights buzzards do not normally form flocks but several may be seen together on bird migration migration or in good habitat the victorian era victorian writer on dartmoor william crossing noted he had on occasions seen flocks of or more at some places though a rare occurrence as many as buzzards can been spotted in one field area approximately metres apart so cannot be classed as a flock in the general term consisting of those males and females without a mate or territory they are fiercely territorial and though rare fights do break out if one strays on another pair s territory but dominant displays of aggression will normally see off the interloper pairs mate for life to attract a mate or impress his existing mate the male performs a ritual aerial display before the beginning of spring this spectacular display is known as the roller coaster he will rise high up in the sky to turn and plummet downward in a spiral twisting and turning as he comes down he then rises immediately upward to repeat the exercise this broad winged raptor has a wide variety of plumages and in europe can be confused with the similar rough legged buzzard buteo lagopus and the only distantly related honey buzzard pernis apivorus which mimics the common buzzard s plumage for a degree of protection from northern goshawks the plumage can vary in britain from almost pure white to black but is usually shades of brown with a pale necklace of feathers the call is a plaintive peea ay similar to a cat s cat communication meow meow,Bird
74,Tetraodon biocellatus ,,Fish
75,Common Chimpanzee ,the common chimpanzee pan troglodytes also known as the robust chimpanzee is a hominidae great ape the name troglodytes greek for cave dweller was coined by johann friedrich blumenbach in his handbuch der naturgeschichte handbook of natural history published in colloquially common chimpanzee is often called the chimpanzee or simply chimp though technically this term refers to both species in the genus chimpanzee pan the common chimpanzee and the closely related bonobo formerly called the pygmy chimpanzee evidence from fossils and dna sequencing show that both species of chimpanzees are the sister taxon sister group to the modern human evolution human lineage the common chimpanzee is an endangered species,Land Mammal
76,Sea otter ,the sea otter enhydra lutris is a marine mammal native to the coasts of the northern and eastern pacific ocean north pacific ocean adu,Aquatic Mammal
77,Leopard gecko ,the leopard gecko eublepharis macularius is a nocturnal terrestrial animal ground dwelling gecko naturally found in the deserts of southern central asia from the southern parts of afghanistan throughout pakistan to the northwestern parts of india unlike most geckos leopard geckos possess eyelids it has become a well established and popular pet in captivity but should only be purchased by an owner with the proper tank and equipment,Reptile
78,European Wildcat ,the european wildcat felis silvestris silvestris is a subspecies of the wildcat that inhabits forests of western europe western central europe central and eastern europe as well as scotland and turkey it has been extirpated from scandinavia england and wales its physical appearance is much bulkier than that of the african wildcat and the cat domestic cat the thick fur and size are distinguishing traits the wildcat normally would not be mistaken for the domestic cat a,Land Mammal
79,American crocodile ,the american crocodile crocodylus acutus is a species of crocodilian found in the neotropics it is the most widespread of the four extant taxon extant species of crocodiles from the americas populations occur from the atlantic and pacific coasts of southern mexico to south america as far as peru and venezuela it also lives within many river systems on cuba jamaica and hispaniola within the united states the american crocodile is only found within the southern half of florida in florida there is an estimated population of about despite its proximity to hispaniola the american crocodile is not found in puerto rico the habitat of the american crocodile consists largely of coastal areas the american crocodile is larger than some other crocodile species with some males reaching lengths of convert m ft in central america central and south america,Reptile
80,Domestic Cat,the domestic goat capra aegagrus hircus is a subspecies of goat domesticated from the wild goat of southwest asia and eastern europe the goat is a member of the bovidae family and is closely related to the sheep as both are in the goat antelope subfamily caprinae there are over three hundred distinct breeds of goat,Land Mammal
81,Eunectes murinus ,the term eunectes anaconda without any further description often refers to this species though the term could also apply to several other members of the genus,Reptile
82,Atlantic salmon ,the atlantic salmon publisher halstead press year,Fish
83,Seawolf (fish) ,the atlantic wolffish anarhichas lupus also known as the seawolf atlantic catfish ocean catfish wolf eel the common name for its pacific wolf eel relative or sea cat is a marine fish the largest of the wolffish family anarhichadidae they are commonly sighted throughout asia the numbers of the atlantic wolffish are rapidly depleting due to overfishing and by catch and is currently a species of concern according to the national oceanic and atmospheric administration s noaa national marine fisheries service nmfs,Fish
84,Merlangius merlangus ,the other fish that have been given the name whiting are mostly also food fish,Fish
85,Mountain goat ,the mountain goat oreamnos americanus also known as the rocky mountain goat is a large hoofed mammal found only in north america despite its vernacular name it is not a member of capra genus capra the genus of true goats it stays at high elevations and is a sure footed climber often resting on rocky cliffs that predators cannot reach,Land Mammal
86,Red Wolf ,the red wolf canis lupus rufus is a north american canid subspecies which once roamed throughout the southeastern united states and is a last glacial period glacial period survivor of the late pleistocene epoch,Land Mammal
87,Steller's Sea Eagle ,the steller s sea eagle haliaeetus pelagicus,Bird
88,Siberian Flying Squirrel ,the siberian flying squirrel pteromys volans is an old world flying squirrel with a range from the ba,Land Mammal
89,Sharpe's Grysbok ,the males have stubby horns which are widely spaced sharpe s grysbok has a short deep muzzle with large mouth and heavy molar grinding teeth the short neck and face on a long legged body resu,Land Mammal
90,Northern bluefin tuna ,the atlantic bluefin tuna thunnus thynnus is a species of tuna in the scombridae family biology family it is variously known as the northern bluefin tuna giant bluefin tuna for individuals exceeding kilograms or around pounds and formerly as the tunny atlantic bluefin are native to both the western and eastern atlantic ocean as well as the mediterranean sea atlantic bluefin have become extinct in the black sea and caspian sea the atlantic bluefin tuna is a close relative of the other two bluefin tuna species amp mdash the pacific bluefin tuna and the southern bluefin tuna atlantic bluefin tuna are capable of reaching well over kg to lb in weight and rival the black marlin and blue marlin as the largest bony fish throughout recorded history the atlantic bluefin tuna has been highly prized as a food fish bluefin have been a valuable commercial catch from the time of the ancient greece ancient greeks and phoenicians to the modern era besides their commercial value as food their great size and the speed and power they display as apex predators has attracted the admiration and respect of both ancient and modern fishermen as well as writers sport anglers and scientists the atlantic bluefin tuna has been the foundation of one of the world s most lucrative commercial fisheries medium sized and large individuals are heavily targeted for the tsukiji fish market japanese raw fish market where all bluefin species are highly prized for sushi and sashimi this commercial importance has led to severe overfishing the international commission for the conservation of atlantic tunas iccat affirmed in october that atlantic bluefin tuna stocks are declining dramatically by in the eastern atlantic and by in the western atlantic,Fish
91,Mongoose Lemur ,the mongoose lemur eulemur mongoz is a lemur ranging from to inches long plus a tail of to inches the mongoose lemur lives in madagascar dry deciduous forests dry deciduous forests on the island of madagascar as well as in the humid comoros forests forests on the islands of the comoros this makes the mongoose lemur one of only two lemurs found outside of madagascar,Land Mammal
92,Corn Snake ,the corn snake elaphe guttata or red rat snake is a north american species of rat snake that subdue their small prey with constriction,Reptile
93,Marsh Deer ,the marsh deer blastocerus dichotomus guaraní language guaraní guasu puku is the largest deer species from south america reaching a length of meters and a height of meters at the rump it is found in argentina bolivia brazil uruguay and paraguay formerly found through all of tropical south america today it is reduced to small isolated populations at marsh and lagoon zones in the basins of the rivers paraná and paraguay as in the amazonian region of peru where it is protected in bahuaja sonehe national park it is listed as a vulnerable species according to cites appendix i,Land Mammal
94,Humpback whale ,the humpback whale megaptera novaeangliae is a species of baleen whale baleen whale one of the larger rorqual species adu,Aquatic Mammal
95,Galápagos tortoise ,the galápagos tortoise or galápagos giant tortoise geochelone nigra is the largest living species of tortoise reaching weights of over kg to lb and lengths of m to ft it is among the list of long living organisms longest lived of all vertebrates life expectancy in the wild is over years and the oldest known individual is estimated to have reached at least years of age the tortoise is endemism endemic to seven volcanic islands of the galápagos islands galápagos archipelago lying west of ecuador spanish explorers who discovered the islands in the century were purportedly struck by the resemblance of the local tortoises shells to the shape of a saddle known as a galápago and this is popularly said to be the origin of the name of the archipelago,Reptile
96,Least Weasel ,the least weasel also known as the common dwarf pygmy or mouse weasel mustela nivalis is the smallest of all species of the carnivora order,Land Mammal
